acceleration:x,y,z,Orientation:yaw,pitch,roll
-0.0955353, 0.318314, 9.70395, -0.031357, -0.49989, 0.00493034
-0.0955353, 0.318314, 9.70395, -0.031357, -0.49989, 0.00493034
-0.0955353, 0.318314, 9.70395, -0.031357, -0.49989, 0.00493034
-0.0955353, 0.318314, 9.70395, -0.0314163, -0.4997, 0.00480731
-0.0741119, 0.301651, 9.66824, -0.0314163, -0.4997, 0.00480731
-0.0741119, 0.301651, 9.66824, -0.0314603, -0.50007, 0.00495803
-0.0741119, 0.301651, 9.66824, -0.0314603, -0.50007, 0.00495803
-0.0741119, 0.301651, 9.66824, -0.0314603, -0.50007, 0.00495803
-0.0479279, 0.301651, 9.70633, -0.0314603, -0.50007, 0.00495803
-0.0479279, 0.301651, 9.70633, -0.0314603, -0.50007, 0.00495803
-0.0479279, 0.301651, 9.70633, -0.0314285, -0.500185, 0.00503014
-0.0693512, 0.311172, 9.69919, -0.0314285, -0.500185, 0.00503014
-0.0693512, 0.311172, 9.69919, -0.0314455, -0.500182, 0.00501955
-0.0312653, 0.313553, 9.67062, -0.0314455, -0.500182, 0.00501955
-0.0312653, 0.313553, 9.67062, -0.0314455, -0.500182, 0.00501955
-0.0312653, 0.313553, 9.67062, -0.0315159, -0.500464, 0.00511387
-0.0979156, 0.29689, 9.64206, -0.0315159, -0.500464, 0.00511387
-0.0979156, 0.29689, 9.64206, -0.0315439, -0.500393, 0.00506439
-0.0288849, 0.29689, 9.6611, -0.0315439, -0.500393, 0.00506439
-0.0288849, 0.29689, 9.6611, -0.0315439, -0.500393, 0.00506439
-0.0288849, 0.29689, 9.6611, -0.0315069, -0.500669, 0.00521576
-0.0622101, 0.306412, 9.71347, -0.0315069, -0.500669, 0.00521576
-0.0622101, 0.306412, 9.71347, -0.0315069, -0.500669, 0.00521576
-0.0622101, 0.306412, 9.71347, -0.0314789, -0.500442, 0.00512386
-0.0146027, 0.280228, 9.69443, -0.0314789, -0.500442, 0.00512386
-0.0146027, 0.280228, 9.69443, -0.0314993, -0.500563, 0.00516968
-0.0526886, 0.29689, 9.71823, -0.0314993, -0.500563, 0.00516968
-0.0526886, 0.29689, 9.71823, -0.0314993, -0.500563, 0.00516968
-0.0526886, 0.29689, 9.71823, -0.0314519, -0.500277, 0.00506068
-0.0693512, 0.304031, 9.72299, -0.0314519, -0.500277, 0.00506068
-0.0693512, 0.304031, 9.72299, -0.0314402, -0.500295, 0.00507583
-0.0431671, 0.284988, 9.63016, -0.0314402, -0.500295, 0.00507583
-0.0431671, 0.284988, 9.63016, -0.0314324, -0.500436, 0.00514693
-0.0122223, 0.301651, 9.72775, -0.0314324, -0.500436, 0.00514693
-0.0122223, 0.301651, 9.72775, -0.0313801, -0.500333, 0.00512711
-0.0836334, 0.29451, 9.73727, -0.0313801, -0.500333, 0.00512711
-0.0836334, 0.29451, 9.73727, -0.0313758, -0.500039, 0.00499023
-0.0717316, 0.261185, 9.66348, -0.0313758, -0.500039, 0.00499023
-0.0717316, 0.261185, 9.66348, -0.0313462, -0.500242, 0.00510281
-0.0384064, 0.299271, 9.64682, -0.0313462, -0.500242, 0.00510281
-0.0384064, 0.299271, 9.64682, -0.0313462, -0.500242, 0.00510281
-0.0384064, 0.299271, 9.64682, -0.0312009, -0.500217, 0.00517172
-0.0384064, 0.299271, 9.64682, -0.0312009, -0.500217, 0.00517172
-0.0669708, 0.301651, 9.72061, -0.0312009, -0.500217, 0.00517172
-0.0669708, 0.301651, 9.72061, -0.0312009, -0.500217, 0.00517172
-0.0669708, 0.301651, 9.72061, -0.0312009, -0.500217, 0.00517172
-0.0669708, 0.301651, 9.72061, -0.0311633, -0.500053, 0.00511481
-0.0455475, 0.29689, 9.66824, -0.0311022, -0.500066, 0.00515488
-0.0384064, 0.299271, 9.70633, -0.0311022, -0.500066, 0.00515488
-0.0384064, 0.299271, 9.70633, -0.0311022, -0.500066, 0.00515488
-0.0384064, 0.299271, 9.70633, -0.0310771, -0.499968, 0.00512254
-0.0312653, 0.275467, 9.65396, -0.0310771, -0.499968, 0.00512254
-0.0312653, 0.275467, 9.65396, -0.0310874, -0.499882, 0.00507616
-0.0812531, 0.29689, 9.51114, -0.0310874, -0.499882, 0.00507616
-0.0812531, 0.29689, 9.51114, -0.0311442, -0.499598, 0.00564371
-0.0622101, 0.311172, 9.98959, -0.0311442, -0.499598, 0.00564371
-0.0622101, 0.311172, 9.98959, -0.031277, -0.498101, 0.00639412
-0.0288849, 0.306412, 9.72061, -0.031277, -0.498101, 0.00639412
-0.0288849, 0.306412, 9.72061, -0.031277, -0.498101, 0.00639412
-0.0288849, 0.306412, 9.72061, -0.0313223, -0.49638, 0.00684756
-0.0693512, 0.29451, 9.68967, -0.0313223, -0.49638, 0.00684756
-0.0693512, 0.29451, 9.68967, -0.0313223, -0.49638, 0.00684756
-0.0693512, 0.29451, 9.68967, -0.0313577, -0.494475, 0.00702001
-0.0741119, 0.275467, 9.71109, -0.0313577, -0.494475, 0.00702001
-0.0741119, 0.275467, 9.71109, -0.0311908, -0.492905, 0.00630449
-0.0288849, 0.261185, 9.74203, -0.0311908, -0.492905, 0.00630449
-0.0288849, 0.261185, 9.74203, -0.0309712, -0.491536, 0.00541916
-0.055069, 0.301651, 9.59921, -0.0309712, -0.491536, 0.00541916
-0.055069, 0.301651, 9.59921, -0.0308075, -0.489821, 0.00497423
-0.0812531, 0.29213, 9.73965, -0.0308075, -0.489821, 0.00497423
-0.0812531, 0.29213, 9.73965, -0.0308353, -0.489583, 0.00498299
-0.185989, 0.187393, 10.1277, -0.0308353, -0.489583, 0.00498299
-0.185989, 0.187393, 10.1277, -0.0309181, -0.489236, 0.00511515
-1.90462, -1.23845, 9.8063, -0.0309181, -0.489236, 0.00511515
-1.90462, -1.23845, 9.8063, -0.0304513, -0.496967, 0.0051891
-1.90462, -1.23845, 9.8063, -0.0304513, -0.496967, 0.0051891
-0.707291, 0.449234, 9.73013, -0.0304513, -0.496967, 0.0051891
-0.707291, 0.449234, 9.73013, -0.0304513, -0.496967, 0.0051891
-0.707291, 0.449234, 9.73013, -0.0304513, -0.496967, 0.0051891
-0.707291, 0.449234, 9.73013, -0.0249895, -0.52901, 0.0105665
-0.528763, 0.187393, 9.6373, -0.0249895, -0.52901, 0.0105665
-0.528763, 0.187393, 9.6373, -0.0258241, -0.572165, 0.0115391
-0.528763, 0.187393, 9.6373, -0.0258241, -0.572165, 0.0115391
-0.528763, 0.187393, 9.6373, -0.0258241, -0.572165, 0.0115391
-0.659683, -0.443405, 9.63254, -0.0258468, -0.619271, 0.0115763
-0.659683, -0.443405, 9.63254, -0.0258468, -0.619271, 0.0115763
0.06633, -0.738571, 9.83249, -0.0258468, -0.619271, 0.0115763
0.06633, -0.738571, 9.83249, -0.0235744, -0.665919, 0.0125404
0.0496674, -1.09801, 9.88724, -0.0235744, -0.665919, 0.0125404
0.0496674, -1.09801, 9.88724, -0.0202384, -0.707468, 0.011977
-0.0193634, -1.04326, 9.62778, -0.0202384, -0.707468, 0.011977
-0.0193634, -1.04326, 9.62778, -0.0202384, -0.707468, 0.011977
-0.0193634, -1.04326, 9.62778, -0.0202384, -0.707468, 0.011977
-0.0193634, -1.04326, 9.62778, -0.0195442, -0.746985, 0.0126185
1.05894, 0.380203, 9.54208, -0.0195442, -0.746985, 0.0126185
1.05894, 0.380203, 9.54208, -0.0195442, -0.746985, 0.0126185
1.05894, 0.380203, 9.54208, -0.0195442, -0.746985, 0.0126185
1.05894, 0.380203, 9.54208, -0.0188905, -0.786922, 0.0133978
1.44456, 2.83913, 9.59445, -0.0188905, -0.786922, 0.0133978
1.44456, 2.83913, 9.59445, -0.0191374, -0.824251, 0.0118426
1.44456, 2.83913, 9.59445, -0.0191374, -0.824251, 0.0118426
1.44456, 2.83913, 9.59445, -0.0191374, -0.824251, 0.0118426
1.15654, 2.00362, 9.99435, -0.0191374, -0.824251, 0.0118426
1.15654, 2.00362, 9.99435, -0.0207396, -0.853124, 0.00845302
1.88969, 1.05147, 9.77536, -0.0207396, -0.853124, 0.00845302
1.88969, 1.05147, 9.77536, -0.0217563, -0.868279, 0.00618654
0.0211029, 0.29689, 9.60397, -0.0217563, -0.868279, 0.00618654
0.0211029, 0.29689, 9.60397, -0.0217563, -0.868279, 0.00618654
0.0211029, 0.29689, 9.60397, -0.0217563, -0.868279, 0.00618654
0.0211029, 0.29689, 9.60397, -0.0222066, -0.871499, 0.00492423
-0.0122223, 0.265945, 9.66348, -0.0222066, -0.871499, 0.00492423
-0.0122223, 0.265945, 9.66348, -0.0222689, -0.871772, 0.00493392
-0.0265045, 0.244522, 9.6492, -0.0222689, -0.871772, 0.00493392
