acceleration:x,y,z,Orientation:yaw,pitch,roll
1.23747, 10.0017, -0.68161, -1.47363, 2.76331, -2.19486
1.16368, 10.0659, -0.493561, -1.47363, 2.76331, -2.19486
1.16368, 10.0659, -0.493561, -1.47384, 2.75921, -2.19922
0.609055, 9.9969, -0.203156, -1.47384, 2.75921, -2.19922
0.609055, 9.9969, -0.203156, -1.47515, 2.7577, -2.2025
0.609055, 9.9969, -0.203156, -1.47515, 2.7577, -2.2025
0.206772, 9.80885, -0.205536, -1.47515, 2.7577, -2.2025
0.206772, 9.80885, -0.205536, -1.47823, 2.74251, -2.21949
0.761398, 9.79457, -1.01724, -1.47823, 2.74251, -2.21949
0.761398, 9.79457, -1.01724, -1.4807, 2.71601, -2.24728
1.1613, 9.70412, -1.72421, -1.4807, 2.71601, -2.24728
1.1613, 9.70412, -1.72421, -1.4807, 2.71601, -2.24728
1.1613, 9.70412, -1.72421, -1.47941, 2.67993, -2.28041
1.1613, 9.70412, -1.72421, -1.47941, 2.67993, -2.28041
0.944687, 9.77791, -1.15292, -1.47941, 2.67993, -2.28041
0.944687, 9.77791, -1.15292, -1.47679, 2.6484, -2.30607
0.944687, 9.77791, -1.15292, -1.47679, 2.6484, -2.30607
0.854233, 9.85884, -0.419769, -1.47679, 2.6484, -2.30607
0.854233, 9.85884, -0.419769, -1.47713, 2.64055, -2.31244
0.951828, 9.83504, -0.707794, -1.47713, 2.64055, -2.31244
0.951828, 9.83504, -0.707794, -1.47915, 2.63991, -2.31704
0.44957, 9.72792, -1.36954, -1.47915, 2.63991, -2.31704
0.44957, 9.72792, -1.36954, -1.48017, 2.60555, -2.35198
0.147263, 9.72792, -1.65756, -1.48017, 2.60555, -2.35198
0.147263, 9.72792, -1.65756, -1.48108, 2.52982, -2.42273
0.147263, 9.72792, -1.65756, -1.48108, 2.52982, -2.42273
0.147263, 9.72792, -1.65756, -1.48108, 2.52982, -2.42273
-0.100296, 9.84456, -1.32431, -1.48268, 2.45456, -2.49086
-0.112198, 10.0064, -0.603058, -1.48713, 2.43737, -2.50876
0.0568085, 10.0993, -0.307892, -1.48713, 2.43737, -2.50876
0.0568085, 10.0993, -0.307892, -1.49192, 2.43032, -2.51693
0.0568085, 10.0993, -0.307892, -1.49192, 2.43032, -2.51693
0.121078, 10.1778, -0.412628, -1.49192, 2.43032, -2.51693
0.121078, 10.1778, -0.412628, -1.49613, 2.42208, -2.52638
0.0639496, 10.2611, -0.562592, -1.49613, 2.42208, -2.52638
0.0639496, 10.2611, -0.562592, -1.49613, 2.42208, -2.52638
0.0639496, 10.2611, -0.562592, -1.49613, 2.42208, -2.52638
0.0639496, 10.2611, -0.562592, -1.49951, 2.41096, -2.53741
-0.0836334, 10.1492, -0.505463, -1.49951, 2.41096, -2.53741
-0.0836334, 10.1492, -0.505463, -1.50239, 2.40354, -2.5449
-0.0836334, 10.1492, -0.505463, -1.50239, 2.40354, -2.5449
-0.121719, 10.004, -0.450714, -1.50239, 2.40354, -2.5449
-0.121719, 10.004, -0.450714, -1.50508, 2.40432, -2.54392
0.0377655, 9.95406, -0.284088, -1.50508, 2.40432, -2.54392
0.0377655, 9.95406, -0.284088, -1.50755, 2.41554, -2.53305
0.240097, 10.0874, -0.388824, -1.50755, 2.41554, -2.53305
0.240097, 10.0874, -0.388824, -1.50995, 2.43194, -2.51735
0.240097, 10.0874, -0.388824, -1.50995, 2.43194, -2.51735
0.240097, 10.0874, -0.388824, -1.51243, 2.44699, -2.50388
-0.0669708, 10.185, -0.576874, -1.51243, 2.44699, -2.50388
-0.0669708, 10.185, -0.576874, -1.51243, 2.44699, -2.50388
-0.0669708, 10.185, -0.576874, -1.51243, 2.44699, -2.50388
-0.0931549, 10.1992, -0.369781, -1.51243, 2.44699, -2.50388
-0.0931549, 10.1992, -0.369781, -1.51497, 2.46455, -2.48642
-0.0931549, 10.1992, -0.369781, -1.51497, 2.46455, -2.48642
-0.0931549, 10.1992, -0.369781, -1.51497, 2.46455, -2.48642
0.116318, 10.2207, -0.224579, -1.51497, 2.46455, -2.48642
0.116318, 10.2207, -0.224579, -1.51497, 2.46455, -2.48642
0.116318, 10.2207, -0.224579, -1.51497, 2.46455, -2.48642
0.116318, 10.2207, -0.224579, -1.51731, 2.49951, -2.45208
0.125839, 10.1588, 0.0301208, -1.51731, 2.49951, -2.45208
0.125839, 10.1588, 0.0301208, -1.51921, 2.54387, -2.40949
0.335312, 10.0326, -0.00796509, -1.51921, 2.54387, -2.40949
0.335312, 10.0326, -0.00796509, -1.52054, 2.57981, -2.3745
0.447189, 9.85884, -0.319794, -1.52054, 2.57981, -2.3745
0.447189, 9.85884, -0.319794, -1.52054, 2.57981, -2.3745
0.447189, 9.85884, -0.319794, -1.52054, 2.57981, -2.3745
0.447189, 9.85884, -0.319794, -1.52122, 2.59829, -2.35679
0.359116, 9.78267, -0.467377, -1.52122, 2.59829, -2.35679
0.359116, 9.78267, -0.467377, -1.52174, 2.60685, -2.35008
0.45195, 9.82076, -0.42691, -1.52174, 2.60685, -2.35008
0.45195, 9.82076, -0.42691, -1.52253, 2.61761, -2.33967
0.45195, 9.82076, -0.42691, -1.52253, 2.61761, -2.33967
0.597153, 9.87788, -0.467377, -1.52253, 2.61761, -2.33967
0.597153, 9.87788, -0.467377, -1.52357, 2.63243, -2.3251
0.409103, 10.0136, -0.531647, -1.52357, 2.63243, -2.3251
0.409103, 10.0136, -0.531647, -1.52492, 2.64602, -2.31205
0.182968, 10.1754, -0.431671, -1.52492, 2.64602, -2.31205
0.182968, 10.1754, -0.431671, -1.52492, 2.64602, -2.31205
0.182968, 10.1754, -0.431671, -1.52492, 2.64602, -2.31205
0.182968, 10.1754, -0.431671, -1.52663, 2.65869, -2.29877
0.028244, 10.0969, -0.274567, -1.52663, 2.65869, -2.29877
0.028244, 10.0969, -0.274567, -1.52839, 2.68077, -2.27584
0.028244, 10.0969, -0.274567, -1.52839, 2.68077, -2.27584
0.185349, 10.1278, -0.29837, -1.52839, 2.68077, -2.27584
0.185349, 10.1278, -0.29837, -1.53031, 2.70123, -2.25435
0.185349, 10.1278, -0.29837, -1.53031, 2.70123, -2.25435
0.411484, 10.1207, -0.10318, -1.53031, 2.70123, -2.25435
0.411484, 10.1207, -0.10318, -1.53109, 2.7316, -2.22207
0.456711, 10.4039, -0.186493, -1.53109, 2.7316, -2.22207
0.456711, 10.4039, -0.186493, -1.5313, 2.78202, -2.17121
0.330551, 11.1014, 0.225311, -1.5313, 2.78202, -2.17121
0.330551, 11.1014, 0.225311, -1.53109, 2.82738, -2.12449
0.330551, 11.1014, 0.225311, -1.53109, 2.82738, -2.12449
0.330551, 11.1014, 0.225311, -1.53109, 2.82738, -2.12449
1.16844, 12.4273, 0.756134, -1.53131, 2.89443, -2.05959
-0.0764923, 14.3197, 1.36313, -1.53131, 2.89443, -2.05959
-0.0764923, 14.3197, 1.36313, -1.52938, 2.88888, -2.06494
-0.673965, 16.7548, 0.734711, -1.52938, 2.88888, -2.06494
-0.673965, 16.7548, 0.734711, -1.5249, 2.80259, -2.14935
-0.673965, 16.7548, 0.734711, -1.5249, 2.80259, -2.14935
-1.36189, 18.721, -0.845856, -1.5249, 2.80259, -2.14935
-1.36189, 18.721, -0.845856, -1.51511, 2.71312, -2.2331
-3.50899, 19.2518, -0.995819, -1.51511, 2.71312, -2.2331
-3.50899, 19.2518, -0.995819, -1.51511, 2.71312, -2.2331
-3.50899, 19.2518, -0.995819, -1.51511, 2.71312, -2.2331
-3.50899, 19.2518, -0.995819, -1.50154, 2.70415, -2.23345
-4.52065, 18.7852, -2.16696, -1.50154, 2.70415, -2.23345
-4.52065, 18.7852, -2.16696, -1.50154, 2.70415, -2.23345
-4.52065, 18.7852, -2.16696, -1.50154, 2.70415, -2.23345
-4.52065, 18.7852, -2.16696, -1.48157, 2.80229, -2.12594
-4.14217, 17.4832, -2.1384, -1.48157, 2.80229, -2.12594
-4.14217, 17.4832, -2.1384, -1.45359, 2.95885, -1.96125
-3.34236, 15.6217, 0.372894, -1.45359, 2.95885, -1.96125
-3.34236, 15.6217, 0.372894, -1.4074, 3.13834, -1.7785
-3.34236, 15.6217, 0.372894, -1.4074, 3.13834, -1.7785
-1.58327, 13.2628, 1.43454, -1.4074, 3.13834, -1.7785
-1.58327, 13.2628, 1.43454, -1.34447, -3.01727, -1.65484
-1.58327, 13.2628, 1.43454, -1.34447, -3.01727, -1.65484
-1.40712, 10.8753, 0.434784, -1.34447, -3.01727, -1.65484
-1.40712, 10.8753, 0.434784, -1.34447, -3.01727, -1.65484
-1.40712, 10.8753, 0.434784, -1.34447, -3.01727, -1.65484
-1.40712, 10.8753, 0.434784, -1.26937, -2.9468, -1.59289
-0.440689, 8.83052, 1.83206, -1.18758, -2.90989, -1.56838
0.06633, 6.58821, 2.18674, -1.18758, -2.90989, -1.56838
0.06633, 6.58821, 2.18674, -1.10166, -2.89173, -1.56432
1.42552, 4.4554, 1.30838, -1.10166, -2.89173, -1.56432
1.42552, 4.4554, 1.30838, -1.01703, -2.89093, -1.57426
1.77306, 3.1581, 0.513336, -1.01703, -2.89093, -1.57426
1.77306, 3.1581, 0.513336, -0.934549, -2.89893, -1.58922
2.8466, 1.93697, 0.725189, -0.934549, -2.89893, -1.58922
2.8466, 1.93697, 0.725189, -0.934549, -2.89893, -1.58922
2.8466, 1.93697, 0.725189, -0.934549, -2.89893, -1.58922
2.8466, 1.93697, 0.725189, -0.856892, -2.91005, -1.60544
3.80589, 0.9991, 0.0777283, -0.856892, -2.91005, -1.60544
3.80589, 0.9991, 0.0777283, -0.856892, -2.91005, -1.60544
3.80589, 0.9991, 0.0777283, -0.856892, -2.91005, -1.60544
3.80589, 0.9991, 0.0777283, -0.783416, -2.92266, -1.62207
4.69139, -0.222031, -0.260284, -0.783416, -2.92266, -1.62207
4.69139, -0.222031, -0.260284, -0.714135, -2.93734, -1.63801
4.69139, -0.222031, -0.260284, -0.714135, -2.93734, -1.63801
5.70781, -1.05754, -0.933929, -0.714135, -2.93734, -1.63801
5.70781, -1.05754, -0.933929, -0.650796, -2.95243, -1.65296
6.87419, -1.70262, -1.53854, -0.650796, -2.95243, -1.65296
6.87419, -1.70262, -1.53854, -0.595156, -2.96676, -1.66801
6.87419, -1.70262, -1.53854, -0.595156, -2.96676, -1.66801
7.37169, -2.5667, -1.53378, -0.595156, -2.96676, -1.66801
7.37169, -2.5667, -1.53378, -0.595156, -2.96676, -1.66801
7.37169, -2.5667, -1.53378, -0.543608, -2.98072, -1.68496
7.37169, -2.5667, -1.53378, -0.543608, -2.98072, -1.68496
7.89775, -3.2332, -2.14554, -0.543608, -2.98072, -1.68496
7.89775, -3.2332, -2.14554, -0.543608, -2.98072, -1.68496
7.89775, -3.2332, -2.14554, -0.543608, -2.98072, -1.68496
7.89775, -3.2332, -2.14554, -0.502269, -2.9926, -1.7021
8.88799, -3.84734, -2.93106, -0.468858, -3.00323, -1.72056
8.88799, -3.84734, -2.93106, -0.468858, -3.00323, -1.72056
9.29503, -4.31151, -3.81418, -0.468858, -3.00323, -1.72056
9.29503, -4.31151, -3.81418, -0.445408, -3.01169, -1.73934
9.81871, -4.9185, -3.61899, -0.445408, -3.01169, -1.73934
9.81871, -4.9185, -3.61899, -0.433296, -3.01708, -1.75719
10.6185, -5.36601, -3.50711, -0.433296, -3.01708, -1.75719
10.6185, -5.36601, -3.50711, -0.433201, -3.01826, -1.77469
10.6185, -5.36601, -3.50711, -0.433201, -3.01826, -1.77469
10.6185, -5.36601, -3.50711, -0.433201, -3.01826, -1.77469
11.3683, -4.76378, -3.49283, -0.433201, -3.01826, -1.77469
11.3683, -4.76378, -3.49283, -0.433201, -3.01826, -1.77469
11.3683, -4.76378, -3.49283, -0.433201, -3.01826, -1.77469
11.3683, -4.76378, -3.49283, -0.446273, -3.01888, -1.79205
10.7899, -4.73759, -3.81418, -0.446273, -3.01888, -1.79205
10.7899, -4.73759, -3.81418, -0.446273, -3.01888, -1.79205
10.7899, -4.73759, -3.81418, -0.476026, -3.02215, -1.80849
9.7473, -4.91612, -4.85916, -0.476026, -3.02215, -1.80849
9.7473, -4.91612, -4.85916, -0.476026, -3.02215, -1.80849
9.7473, -4.91612, -4.85916, -0.522658, -3.02873, -1.81952
9.7473, -4.91612, -4.85916, -0.522658, -3.02873, -1.81952
9.09984, -4.90898, -5.11624, -0.522658, -3.02873, -1.81952
9.09984, -4.90898, -5.11624, -0.522658, -3.02873, -1.81952
9.09984, -4.90898, -5.11624, -0.583564, -3.03552, -1.82313
9.47832, -4.26866, -4.13077, -0.583564, -3.03552, -1.82313
9.47832, -4.26866, -4.13077, -0.583564, -3.03552, -1.82313
9.47832, -4.26866, -4.13077, -0.663288, -3.03595, -1.81985
10.2448, -3.68785, -0.93869, -0.663288, -3.03595, -1.81985
10.2448, -3.68785, -0.93869, -0.663288, -3.03595, -1.81985
10.2448, -3.68785, -0.93869, -0.757119, -3.02943, -1.81214
12.0824, -3.78783, 1.10843, -0.757119, -3.02943, -1.81214
12.0824, -3.78783, 1.10843, -0.872893, -3.02234, -1.80113
11.4516, -4.99944, 3.19125, -0.872893, -3.02234, -1.80113
11.4516, -4.99944, 3.19125, -0.872893, -3.02234, -1.80113
11.4516, -4.99944, 3.19125, -1.01669, -3.03303, -1.79945
10.9946, -7.55119, 0.489532, -1.01669, -3.03303, -1.79945
10.9946, -7.55119, 0.489532, -1.18884, -3.0963, -1.84672
5.36504, -10.2553, -0.10556, -1.18884, -3.0963, -1.84672
5.36504, -10.2553, -0.10556, -1.18884, -3.0963, -1.84672
5.36504, -10.2553, -0.10556, -1.39755, 2.858, -2.14987
-7.37709, -12.6047, 3.54355, -1.42666, 0.972925, 2.29691
-19.5908, -11.386, -9.86508, -1.42666, 0.972925, 2.29691
-19.5908, -11.386, -9.86508, -1.15741, 0.483759, 1.86815
-19.5908, 5.32423, -6.42068, -1.15741, 0.483759, 1.86815
-19.5908, 5.32423, -6.42068, -0.942996, 0.358778, 1.77786
-19.5908, 12.3106, 0.715668, -0.942996, 0.358778, 1.77786
-19.5908, 12.3106, 0.715668, -0.862321, 0.280229, 1.67712
-19.5908, 12.3106, 0.715668, -0.862321, 0.280229, 1.67712
-17.6651, 14.4696, 7.33548, -0.862321, 0.280229, 1.67712
-17.6651, 14.4696, 7.33548, -0.830926, 0.209968, 1.57397
-17.1438, 14.4506, 9.94913, -0.830926, 0.209968, 1.57397
-17.1438, 14.4506, 9.94913, -0.789245, 0.170477, 1.52012
-17.7817, 11.4227, 5.4288, -0.789245, 0.170477, 1.52012
-17.7817, 11.4227, 5.4288, -0.741224, 0.175563, 1.52064
-17.7817, 11.4227, 5.4288, -0.741224, 0.175563, 1.52064
-17.0438, 9.29945, -2.30026, -0.741224, 0.175563, 1.52064
-17.0438, 9.29945, -2.30026, -0.703192, 0.204701, 1.54476
-10.9715, 8.37349, -1.02676, -0.703192, 0.204701, 1.54476
-10.9715, 8.37349, -1.02676, -0.68423, 0.226552, 1.56081
-8.80531, 7.42848, 1.1489, -0.68423, 0.226552, 1.56081
-8.80531, 7.42848, 1.1489, -0.678509, 0.238313, 1.56389
-8.80531, 7.42848, 1.1489, -0.678509, 0.238313, 1.56389
-9.15999, 6.46919, -1.03629, -0.678509, 0.238313, 1.56389
-9.15999, 6.46919, -1.03629, -0.678509, 0.238313, 1.56389
-9.69557, 6.28828, -1.41, -0.666331, 0.258626, 1.57019
-9.04097, 6.44301, 0.353851, -0.666331, 0.258626, 1.57019
-9.04097, 6.44301, 0.353851, -0.663923, 0.258565, 1.56686
-7.7032, 6.25734, 0.629974, -0.663923, 0.258565, 1.56686
-7.7032, 6.25734, 0.629974, -0.665315, 0.257036, 1.56025
-7.91743, 6.05977, 0.560944, -0.665315, 0.257036, 1.56025
-7.91743, 6.05977, 0.560944, -0.666058, 0.256665, 1.55675
-7.91743, 6.05977, 0.560944, -0.666058, 0.256665, 1.55675
-8.46254, 5.76222, 0.315765, -0.665277, 0.255481, 1.55421
-8.82436, 5.75032, 0.591888, -0.665317, 0.25408, 1.55106
-7.90077, 5.84077, 0.177704, -0.665317, 0.25408, 1.55106
-7.90077, 5.84077, 0.177704, -0.667739, 0.253584, 1.54743
-7.90077, 5.84077, 0.177704, -0.667739, 0.253584, 1.54743
-7.38661, 6.20021, 0.917999, -0.667739, 0.253584, 1.54743
-7.38661, 6.20021, 0.917999, -0.670992, 0.253444, 1.54414
-7.5818, 6.38826, 0.953705, -0.670992, 0.253444, 1.54414
-7.5818, 6.38826, 0.953705, -0.670992, 0.253444, 1.54414
-7.5818, 6.38826, 0.953705, -0.67246, 0.254155, 1.54185
-8.72676, 6.46205, 0.441925, -0.67246, 0.254155, 1.54185
-8.72676, 6.46205, 0.441925, -0.672626, 0.257214, 1.54235
-9.31471, 6.46443, 0.0729675, -0.672626, 0.257214, 1.54235
-9.31471, 6.46443, 0.0729675, -0.674157, 0.261641, 1.54437
-8.79817, 6.55965, -0.29361, -0.674157, 0.261641, 1.54437
-8.79817, 6.55965, -0.29361, -0.674157, 0.261641, 1.54437
-8.79817, 6.55965, -0.29361, -0.679106, 0.264408, 1.5449
-8.57918, 7.05476, 0.960846, -0.679106, 0.264408, 1.5449
-8.57918, 7.05476, 0.960846, -0.686554, 0.264517, 1.54145
-8.82198, 7.3166, 1.29172, -0.686554, 0.264517, 1.54145
-8.82198, 7.3166, 1.29172, -0.694467, 0.266435, 1.53785
-10.0122, 7.25233, 1.40598, -0.694467, 0.266435, 1.53785
-10.0122, 7.25233, 1.40598, -0.702414, 0.271799, 1.54073
-10.6406, 6.91908, -0.0365295, -0.702414, 0.271799, 1.54073
-10.6406, 6.91908, -0.0365295, -0.712876, 0.282155, 1.55151
-10.2216, 6.98811, -0.686371, -0.712876, 0.282155, 1.55151
-10.2216, 6.98811, -0.686371, -0.7282, 0.293016, 1.56601
-11.169, 7.1476, -0.0127258, -0.7282, 0.293016, 1.56601
-11.169, 7.1476, -0.0127258, -0.749833, 0.301314, 1.57843
-11.169, 7.1476, -0.0127258, -0.749833, 0.301314, 1.57843
-10.9286, 7.21187, -0.222198, -0.749833, 0.301314, 1.57843
-10.9286, 7.21187, -0.222198, -0.778381, 0.309307, 1.59253
-11.488, 7.35469, -0.829193, -0.778381, 0.309307, 1.59253
-11.488, 7.35469, -0.829193, -0.813914, 0.318081, 1.61313
-12.5187, 7.06667, -0.0103455, -0.857284, 0.326545, 1.6385
-12.5187, 7.06667, -0.0103455, -0.857284, 0.326545, 1.6385
-9.65987, 7.28804, -1.28622, -0.857284, 0.326545, 1.6385
-9.65987, 7.28804, -1.28622, -0.910899, 0.337403, 1.66558
-8.39113, 7.14284, -1.74088, -0.910899, 0.337403, 1.66558
-8.39113, 7.14284, -1.74088, -0.972851, 0.350352, 1.693
-6.70107, 7.21663, -1.90512, -0.972851, 0.350352, 1.693
-6.70107, 7.21663, -1.90512, -1.03795, 0.360941, 1.71574
-6.70107, 7.21663, -1.90512, -1.03795, 0.360941, 1.71574
-6.22023, 7.07381, -0.16507, -1.03795, 0.360941, 1.71574
-6.22023, 7.07381, -0.16507, -1.10551, 0.368778, 1.73348
-4.07076, 7.01906, -0.469757, -1.17456, 0.378914, 1.75088
-4.07076, 7.01906, -0.469757, -1.17456, 0.378914, 1.75088
-1.75227, 7.06429, -0.729218, -1.17456, 0.378914, 1.75088
