GoogleYaw, -0.895479 GooglePitch, -0.0267569 GoogleRoll, 0.00319816
pack:0 ax, -0.0455475 ay, 0.251663 az, 9.75394
GoogleYaw, -0.895479 GooglePitch, -0.0267569 GoogleRoll, 0.00319816
pack:0 ax, -0.0455475 ay, 0.251663 az, 9.75394
GoogleYaw, -0.895619 GooglePitch, -0.0267905 GoogleRoll, 0.00328062
pack:0 ax, -0.0455475 ay, 0.251663 az, 9.75394
GoogleYaw, -0.895619 GooglePitch, -0.0267905 GoogleRoll, 0.00328062
pack:0 ax, -0.0455475 ay, 0.29451 az, 9.81345
GoogleYaw, -0.895619 GooglePitch, -0.0267905 GoogleRoll, 0.00328062
pack:0 ax, -0.0455475 ay, 0.29451 az, 9.81345
GoogleYaw, -0.895619 GooglePitch, -0.0267905 GoogleRoll, 0.00328062
pack:0 ax, -0.0455475 ay, 0.29451 az, 9.81345
GoogleYaw, -0.895612 GooglePitch, -0.026757 GoogleRoll, 0.00331687
pack:0 ax, -0.0455475 ay, 0.29451 az, 9.81345
GoogleYaw, -0.895612 GooglePitch, -0.026757 GoogleRoll, 0.00331687
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.71585
GoogleYaw, -0.895612 GooglePitch, -0.026757 GoogleRoll, 0.00331687
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.71585
GoogleYaw, -0.895612 GooglePitch, -0.026757 GoogleRoll, 0.00331687
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.71585
GoogleYaw, -0.895612 GooglePitch, -0.026757 GoogleRoll, 0.00331687
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.71585
GoogleYaw, -0.895816 GooglePitch, -0.0268655 GoogleRoll, 0.00336179
pack:0 ax, -0.0503082 ay, 0.261185 az, 9.75156
GoogleYaw, -0.895816 GooglePitch, -0.0268655 GoogleRoll, 0.00336179
pack:0 ax, -0.0503082 ay, 0.261185 az, 9.75156
GoogleYaw, -0.895862 GooglePitch, -0.026827 GoogleRoll, 0.00345159
pack:0 ax, -0.0717316 ay, 0.258804 az, 9.71347
GoogleYaw, -0.895951 GooglePitch, -0.0268249 GoogleRoll, 0.00353462
pack:0 ax, -0.0526886 ay, 0.29451 az, 9.78726
GoogleYaw, -0.895951 GooglePitch, -0.0268249 GoogleRoll, 0.00353462
pack:0 ax, -0.0526886 ay, 0.29451 az, 9.78726
GoogleYaw, -0.895951 GooglePitch, -0.0268249 GoogleRoll, 0.00353462
pack:0 ax, -0.0526886 ay, 0.29451 az, 9.78726
GoogleYaw, -0.895951 GooglePitch, -0.0268249 GoogleRoll, 0.00353462
pack:0 ax, -0.0526886 ay, 0.29451 az, 9.78726
GoogleYaw, -0.896096 GooglePitch, -0.0268263 GoogleRoll, 0.0036626
pack:0 ax, -0.00984192 ay, 0.242142 az, 9.7825
GoogleYaw, -0.896096 GooglePitch, -0.0268263 GoogleRoll, 0.0036626
pack:0 ax, -0.00984192 ay, 0.242142 az, 9.7825
GoogleYaw, -0.896096 GooglePitch, -0.0268263 GoogleRoll, 0.0036626
pack:0 ax, -0.00984192 ay, 0.242142 az, 9.7825
GoogleYaw, -0.896355 GooglePitch, -0.0269554 GoogleRoll, 0.00373038
pack:0 ax, -0.00984192 ay, 0.242142 az, 9.7825
GoogleYaw, -0.896355 GooglePitch, -0.0269554 GoogleRoll, 0.00373038
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.77298
GoogleYaw, -0.896355 GooglePitch, -0.0269554 GoogleRoll, 0.00373038
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.77298
GoogleYaw, -0.896355 GooglePitch, -0.0269554 GoogleRoll, 0.00373038
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.77298
GoogleYaw, -0.896355 GooglePitch, -0.0269554 GoogleRoll, 0.00373038
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.77298
GoogleYaw, -0.896171 GooglePitch, -0.0268815 GoogleRoll, 0.0036596
pack:0 ax, -0.0598297 ay, 0.277847 az, 9.76108
GoogleYaw, -0.896224 GooglePitch, -0.0269348 GoogleRoll, 0.0036385
pack:0 ax, -0.00508118 ay, 0.29689 az, 9.83011
GoogleYaw, -0.896224 GooglePitch, -0.0269348 GoogleRoll, 0.0036385
pack:0 ax, -0.00508118 ay, 0.29689 az, 9.83011
GoogleYaw, -0.896224 GooglePitch, -0.0269348 GoogleRoll, 0.0036385
pack:0 ax, -0.00508118 ay, 0.29689 az, 9.83011
GoogleYaw, -0.896441 GooglePitch, -0.0270057 GoogleRoll, 0.0037429
pack:0 ax, -0.036026 ay, 0.273087 az, 9.73489
GoogleYaw, -0.896441 GooglePitch, -0.0270057 GoogleRoll, 0.0037429
pack:0 ax, -0.036026 ay, 0.273087 az, 9.73489
GoogleYaw, -0.896441 GooglePitch, -0.0270057 GoogleRoll, 0.0037429
pack:0 ax, -0.036026 ay, 0.273087 az, 9.73489
GoogleYaw, -0.896441 GooglePitch, -0.0270057 GoogleRoll, 0.0037429
pack:0 ax, -0.036026 ay, 0.273087 az, 9.73489
GoogleYaw, -0.8965 GooglePitch, -0.0271227 GoogleRoll, 0.00364543
pack:0 ax, -0.0741119 ay, 0.227859 az, 9.72775
GoogleYaw, -0.8965 GooglePitch, -0.0271227 GoogleRoll, 0.00364543
pack:0 ax, -0.0741119 ay, 0.227859 az, 9.72775
GoogleYaw, -0.8965 GooglePitch, -0.0271227 GoogleRoll, 0.00364543
pack:0 ax, -0.0741119 ay, 0.227859 az, 9.72775
GoogleYaw, -0.896548 GooglePitch, -0.0271633 GoogleRoll, 0.00363698
pack:0 ax, -0.0741119 ay, 0.227859 az, 9.72775
GoogleYaw, -0.896548 GooglePitch, -0.0271633 GoogleRoll, 0.00363698
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -0.896548 GooglePitch, -0.0271633 GoogleRoll, 0.00363698
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -0.896548 GooglePitch, -0.0271633 GoogleRoll, 0.00363698
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -0.896548 GooglePitch, -0.0271633 GoogleRoll, 0.00363698
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -0.896509 GooglePitch, -0.027049 GoogleRoll, 0.00374866
pack:0 ax, -0.0193634 ay, 0.284988 az, 9.72061
GoogleYaw, -0.896504 GooglePitch, -0.0270155 GoogleRoll, 0.0037872
pack:0 ax, -0.0645905 ay, 0.270706 az, 9.83487
GoogleYaw, -0.896504 GooglePitch, -0.0270155 GoogleRoll, 0.0037872
pack:0 ax, -0.0645905 ay, 0.270706 az, 9.83487
GoogleYaw, -0.896557 GooglePitch, -0.0270915 GoogleRoll, 0.00373729
pack:0 ax, -0.0693512 ay, 0.265945 az, 9.72775
GoogleYaw, -0.896557 GooglePitch, -0.0270915 GoogleRoll, 0.00373729
