GoogleYaw, -1.03507 GooglePitch, -0.0259249 GoogleRoll, 0.00351383
pack:0 ax, -0.0122223 ay, 0.29213 az, 9.7706
GoogleYaw, -1.03507 GooglePitch, -0.0259249 GoogleRoll, 0.00351383
pack:0 ax, -0.0122223 ay, 0.29213 az, 9.7706
GoogleYaw, -1.03507 GooglePitch, -0.0259249 GoogleRoll, 0.00351383
pack:0 ax, -0.0122223 ay, 0.29213 az, 9.7706
GoogleYaw, -1.03477 GooglePitch, -0.0257579 GoogleRoll, 0.00348217
pack:0 ax, -0.0288849 ay, 0.261185 az, 9.83487
GoogleYaw, -1.03477 GooglePitch, -0.0257579 GoogleRoll, 0.00348217
pack:0 ax, -0.0288849 ay, 0.261185 az, 9.83487
GoogleYaw, -1.03489 GooglePitch, -0.0258973 GoogleRoll, 0.00337459
pack:0 ax, -0.0288849 ay, 0.261185 az, 9.83487
GoogleYaw, -1.03489 GooglePitch, -0.0258973 GoogleRoll, 0.00337459
pack:0 ax, -0.0288849 ay, 0.261185 az, 9.83487
GoogleYaw, -1.03489 GooglePitch, -0.0258973 GoogleRoll, 0.00337459
pack:0 ax, -0.0336456 ay, 0.23262 az, 9.71585
GoogleYaw, -1.03489 GooglePitch, -0.0258973 GoogleRoll, 0.00337459
pack:0 ax, -0.0336456 ay, 0.23262 az, 9.71585
GoogleYaw, -1.03488 GooglePitch, -0.0259104 GoogleRoll, 0.00333778
pack:0 ax, -0.0384064 ay, 0.315933 az, 9.76346
GoogleYaw, -1.03475 GooglePitch, -0.0258361 GoogleRoll, 0.00333021
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.7587
GoogleYaw, -1.03475 GooglePitch, -0.0258361 GoogleRoll, 0.00333021
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.7587
GoogleYaw, -1.03475 GooglePitch, -0.0258361 GoogleRoll, 0.00333021
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.7587
GoogleYaw, -1.0351 GooglePitch, -0.0260545 GoogleRoll, 0.0033286
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.7587
GoogleYaw, -1.0351 GooglePitch, -0.0260545 GoogleRoll, 0.0033286
pack:0 ax, -0.0574493 ay, 0.256424 az, 9.74918
GoogleYaw, -1.0351 GooglePitch, -0.0260545 GoogleRoll, 0.0033286
pack:0 ax, -0.0574493 ay, 0.256424 az, 9.74918
GoogleYaw, -1.0351 GooglePitch, -0.0260545 GoogleRoll, 0.0033286
pack:0 ax, -0.0574493 ay, 0.256424 az, 9.74918
GoogleYaw, -1.0351 GooglePitch, -0.0260545 GoogleRoll, 0.0033286
pack:0 ax, -0.0574493 ay, 0.256424 az, 9.74918
GoogleYaw, -1.03513 GooglePitch, -0.0260691 GoogleRoll, 0.00332681
pack:0 ax, -0.0693512 ay, 0.261185 az, 9.78488
