pack:0 ax, -0.0479279 ay, 0.282608 az, 9.77774
GoogleYaw, 0.328491 GooglePitch, -0.0276762 GoogleRoll, 0.00985297
pack:0 ax, -0.0788727 ay, 0.256424 az, 9.69443
GoogleYaw, 0.328491 GooglePitch, -0.0276762 GoogleRoll, 0.00985297
pack:0 ax, -0.0788727 ay, 0.256424 az, 9.69443
GoogleYaw, 0.328816 GooglePitch, -0.0277219 GoogleRoll, 0.0096799
pack:0 ax, -0.0764923 ay, 0.284988 az, 9.84201
GoogleYaw, 0.328816 GooglePitch, -0.0277219 GoogleRoll, 0.0096799
pack:0 ax, -0.0764923 ay, 0.284988 az, 9.84201
GoogleYaw, 0.328816 GooglePitch, -0.0277219 GoogleRoll, 0.0096799
pack:0 ax, -0.0764923 ay, 0.284988 az, 9.84201
GoogleYaw, 0.328816 GooglePitch, -0.0277219 GoogleRoll, 0.0096799
pack:0 ax, -0.0764923 ay, 0.284988 az, 9.84201
GoogleYaw, 0.328848 GooglePitch, -0.0276939 GoogleRoll, 0.00965137
pack:0 ax, -0.0836334 ay, 0.280228 az, 9.69919
GoogleYaw, 0.328848 GooglePitch, -0.0276939 GoogleRoll, 0.00965137
pack:0 ax, -0.0836334 ay, 0.280228 az, 9.69919
GoogleYaw, 0.328848 GooglePitch, -0.0276939 GoogleRoll, 0.00965137
pack:0 ax, -0.0836334 ay, 0.280228 az, 9.69919
GoogleYaw, 0.328924 GooglePitch, -0.0277412 GoogleRoll, 0.00962386
pack:0 ax, -0.0836334 ay, 0.280228 az, 9.69919
GoogleYaw, 0.328924 GooglePitch, -0.0277412 GoogleRoll, 0.00962386
pack:0 ax, -0.0907745 ay, 0.282608 az, 9.67538
GoogleYaw, 0.328924 GooglePitch, -0.0277412 GoogleRoll, 0.00962386
pack:0 ax, -0.0907745 ay, 0.282608 az, 9.67538
GoogleYaw, 0.328924 GooglePitch, -0.0277412 GoogleRoll, 0.00962386
pack:0 ax, -0.0907745 ay, 0.282608 az, 9.67538
GoogleYaw, 0.328924 GooglePitch, -0.0277412 GoogleRoll, 0.00962386
