GoogleYaw, -0.565108 GooglePitch, -0.334621 GoogleRoll, 1.65091
pack:0 ax, -9.27901 ay, 3.26997 az, -0.338837
GoogleYaw, -0.565108 GooglePitch, -0.334621 GoogleRoll, 1.65091
pack:0 ax, -9.27901 ay, 3.26997 az, -0.338837
GoogleYaw, -0.565108 GooglePitch, -0.334621 GoogleRoll, 1.65091
pack:0 ax, -9.27901 ay, 3.26997 az, -0.338837
GoogleYaw, -0.565108 GooglePitch, -0.334621 GoogleRoll, 1.65091
pack:0 ax, -9.27901 ay, 3.26997 az, -0.338837
GoogleYaw, -0.56457 GooglePitch, -0.333616 GoogleRoll, 1.65152
pack:0 ax, -9.45515 ay, 3.05812 az, -0.781586
GoogleYaw, -0.56457 GooglePitch, -0.333616 GoogleRoll, 1.65152
pack:0 ax, -9.45515 ay, 3.05812 az, -0.781586
GoogleYaw, -0.562149 GooglePitch, -0.33233 GoogleRoll, 1.65386
pack:0 ax, -9.6313 ay, 2.87959 az, -1.35049
GoogleYaw, -0.562149 GooglePitch, -0.33233 GoogleRoll, 1.65386
pack:0 ax, -9.6313 ay, 2.87959 az, -1.35049
GoogleYaw, -0.562149 GooglePitch, -0.33233 GoogleRoll, 1.65386
pack:0 ax, -9.6313 ay, 2.87959 az, -1.35049
GoogleYaw, -0.562149 GooglePitch, -0.33233 GoogleRoll, 1.65386
pack:0 ax, -9.6313 ay, 2.87959 az, -1.35049
GoogleYaw, -0.559487 GooglePitch, -0.330754 GoogleRoll, 1.65683
pack:0 ax, -9.4861 ay, 3.05098 az, -0.974396
GoogleYaw, -0.559487 GooglePitch, -0.330754 GoogleRoll, 1.65683
pack:0 ax, -9.4861 ay, 3.05098 az, -0.974396
GoogleYaw, -0.559487 GooglePitch, -0.330754 GoogleRoll, 1.65683
pack:0 ax, -9.4861 ay, 3.05098 az, -0.974396
GoogleYaw, -0.559487 GooglePitch, -0.330754 GoogleRoll, 1.65683
pack:0 ax, -9.4861 ay, 3.05098 az, -0.974396
GoogleYaw, -0.557814 GooglePitch, -0.329967 GoogleRoll, 1.6583
pack:0 ax, -8.91005 ay, 3.14857 az, -0.545929
GoogleYaw, -0.557814 GooglePitch, -0.329967 GoogleRoll, 1.6583
pack:0 ax, -8.91005 ay, 3.14857 az, -0.545929
GoogleYaw, -0.557814 GooglePitch, -0.329967 GoogleRoll, 1.6583
pack:0 ax, -8.91005 ay, 3.14857 az, -0.545929
GoogleYaw, -0.557814 GooglePitch, -0.329967 GoogleRoll, 1.6583
pack:0 ax, -8.91005 ay, 3.14857 az, -0.545929
GoogleYaw, -0.556548 GooglePitch, -0.329897 GoogleRoll, 1.65878
pack:0 ax, -9.01479 ay, 3.17952 az, -0.860138
GoogleYaw, -0.556548 GooglePitch, -0.329897 GoogleRoll, 1.65878
pack:0 ax, -9.01479 ay, 3.17952 az, -0.860138
GoogleYaw, -0.556548 GooglePitch, -0.329897 GoogleRoll, 1.65878
pack:0 ax, -9.01479 ay, 3.17952 az, -0.860138
GoogleYaw, -0.556548 GooglePitch, -0.329897 GoogleRoll, 1.65878
pack:0 ax, -9.01479 ay, 3.17952 az, -0.860138
GoogleYaw, -0.555096 GooglePitch, -0.329282 GoogleRoll, 1.66032
pack:0 ax, -8.9886 ay, 3.14619 az, -0.860138
GoogleYaw, -0.555096 GooglePitch, -0.329282 GoogleRoll, 1.66032
pack:0 ax, -8.9886 ay, 3.14619 az, -0.860138
GoogleYaw, -0.555096 GooglePitch, -0.329282 GoogleRoll, 1.66032
pack:0 ax, -8.9886 ay, 3.14619 az, -0.860138
GoogleYaw, -0.555096 GooglePitch, -0.329282 GoogleRoll, 1.66032
pack:0 ax, -8.9886 ay, 3.14619 az, -0.860138
GoogleYaw, -0.553273 GooglePitch, -0.328082 GoogleRoll, 1.66281
pack:0 ax, -8.9529 ay, 3.17476 az, -0.822052
GoogleYaw, -0.553273 GooglePitch, -0.328082 GoogleRoll, 1.66281
pack:0 ax, -8.9529 ay, 3.17476 az, -0.822052
GoogleYaw, -0.553273 GooglePitch, -0.328082 GoogleRoll, 1.66281
pack:0 ax, -8.9529 ay, 3.17476 az, -0.822052
GoogleYaw, -0.553273 GooglePitch, -0.328082 GoogleRoll, 1.66281
pack:0 ax, -8.9529 ay, 3.17476 az, -0.822052
GoogleYaw, -0.550755 GooglePitch, -0.326685 GoogleRoll, 1.66523
pack:0 ax, -9.42659 ay, 3.24141 az, -0.776825
GoogleYaw, -0.550755 GooglePitch, -0.326685 GoogleRoll, 1.66523
pack:0 ax, -9.42659 ay, 3.24141 az, -0.776825
GoogleYaw, -0.5499 GooglePitch, -0.325673 GoogleRoll, 1.66719
pack:0 ax, -9.42659 ay, 3.24141 az, -0.776825
GoogleYaw, -0.5499 GooglePitch, -0.325673 GoogleRoll, 1.66719
pack:0 ax, -9.42659 ay, 3.24141 az, -0.776825
GoogleYaw, -0.5499 GooglePitch, -0.325673 GoogleRoll, 1.66719
pack:0 ax, -9.39326 ay, 3.28902 az, -0.867279
GoogleYaw, -0.5499 GooglePitch, -0.325673 GoogleRoll, 1.66719
pack:0 ax, -9.39326 ay, 3.28902 az, -0.867279
GoogleYaw, -0.5499 GooglePitch, -0.325673 GoogleRoll, 1.66719
pack:0 ax, -9.39326 ay, 3.28902 az, -0.867279
GoogleYaw, -0.5499 GooglePitch, -0.325673 GoogleRoll, 1.66719
pack:0 ax, -9.39326 ay, 3.28902 az, -0.867279
GoogleYaw, -0.547881 GooglePitch, -0.325188 GoogleRoll, 1.66835
pack:0 ax, -9.58369 ay, 3.558 az, -0.964874
GoogleYaw, -0.547881 GooglePitch, -0.325188 GoogleRoll, 1.66835
pack:0 ax, -9.58369 ay, 3.558 az, -0.964874
GoogleYaw, -0.547881 GooglePitch, -0.325188 GoogleRoll, 1.66835
pack:0 ax, -9.58369 ay, 3.558 az, -0.964874
GoogleYaw, -0.547881 GooglePitch, -0.325188 GoogleRoll, 1.66835
pack:0 ax, -9.58369 ay, 3.558 az, -0.964874
GoogleYaw, -0.544437 GooglePitch, -0.325268 GoogleRoll, 1.67096
pack:0 ax, -10.9286 ay, 4.23402 az, -1.24814
GoogleYaw, -0.544437 GooglePitch, -0.325268 GoogleRoll, 1.67096
pack:0 ax, -10.9286 ay, 4.23402 az, -1.24814
GoogleYaw, -0.544437 GooglePitch, -0.325268 GoogleRoll, 1.67096
pack:0 ax, -10.9286 ay, 4.23402 az, -1.24814
GoogleYaw, -0.544437 GooglePitch, -0.325268 GoogleRoll, 1.67096
pack:0 ax, -10.9286 ay, 4.23402 az, -1.24814
GoogleYaw, -0.542546 GooglePitch, -0.325064 GoogleRoll, 1.67621
pack:0 ax, -13.0233 ay, 5.11952 az, -0.87442
GoogleYaw, -0.542546 GooglePitch, -0.325064 GoogleRoll, 1.67621
pack:0 ax, -13.0233 ay, 5.11952 az, -0.87442
GoogleYaw, -0.542546 GooglePitch, -0.325064 GoogleRoll, 1.67621
pack:0 ax, -13.0233 ay, 5.11952 az, -0.87442
GoogleYaw, -0.542546 GooglePitch, -0.325064 GoogleRoll, 1.67621
pack:0 ax, -13.0233 ay, 5.11952 az, -0.87442
GoogleYaw, -0.540954 GooglePitch, -0.323954 GoogleRoll, 1.6842
pack:0 ax, -13.1543 ay, 5.55275 az, -1.5076
GoogleYaw, -0.540954 GooglePitch, -0.323954 GoogleRoll, 1.6842
pack:0 ax, -13.1543 ay, 5.55275 az, -1.5076
GoogleYaw, -0.540954 GooglePitch, -0.323954 GoogleRoll, 1.6842
pack:0 ax, -13.1543 ay, 5.55275 az, -1.5076
GoogleYaw, -0.540954 GooglePitch, -0.323954 GoogleRoll, 1.6842
pack:0 ax, -13.1543 ay, 5.55275 az, -1.5076
GoogleYaw, -0.537889 GooglePitch, -0.326627 GoogleRoll, 1.69352
pack:0 ax, -15.775 ay, 6.22163 az, -0.817291
GoogleYaw, -0.537889 GooglePitch, -0.326627 GoogleRoll, 1.69352
pack:0 ax, -15.775 ay, 6.22163 az, -0.817291
GoogleYaw, -0.537889 GooglePitch, -0.326627 GoogleRoll, 1.69352
pack:0 ax, -15.775 ay, 6.22163 az, -0.817291
GoogleYaw, -0.537889 GooglePitch, -0.326627 GoogleRoll, 1.69352
pack:0 ax, -15.775 ay, 6.22163 az, -0.817291
GoogleYaw, -0.535299 GooglePitch, -0.335535 GoogleRoll, 1.69767
pack:0 ax, -17.6055 ay, 6.54536 az, -1.60043
GoogleYaw, -0.535299 GooglePitch, -0.335535 GoogleRoll, 1.69767
pack:0 ax, -17.6055 ay, 6.54536 az, -1.60043
GoogleYaw, -0.535299 GooglePitch, -0.335535 GoogleRoll, 1.69767
pack:0 ax, -17.6055 ay, 6.54536 az, -1.60043
GoogleYaw, -0.529782 GooglePitch, -0.353887 GoogleRoll, 1.693
pack:0 ax, -17.6055 ay, 6.54536 az, -1.60043
GoogleYaw, -0.529782 GooglePitch, -0.353887 GoogleRoll, 1.693
pack:0 ax, -17.2366 ay, 6.52156 az, -3.43332
GoogleYaw, -0.529782 GooglePitch, -0.353887 GoogleRoll, 1.693
pack:0 ax, -17.2366 ay, 6.52156 az, -3.43332
GoogleYaw, -0.529782 GooglePitch, -0.353887 GoogleRoll, 1.693
pack:0 ax, -17.2366 ay, 6.52156 az, -3.43332
GoogleYaw, -0.529782 GooglePitch, -0.353887 GoogleRoll, 1.693
pack:0 ax, -17.2366 ay, 6.52156 az, -3.43332
GoogleYaw, -0.522779 GooglePitch, -0.382795 GoogleRoll, 1.68742
pack:0 ax, -16.5201 ay, 6.70961 az, -4.04984
GoogleYaw, -0.522779 GooglePitch, -0.382795 GoogleRoll, 1.68742
pack:0 ax, -16.5201 ay, 6.70961 az, -4.04984
GoogleYaw, -0.52088 GooglePitch, -0.420905 GoogleRoll, 1.68577
