GoogleYaw, -0.894839 GooglePitch, -0.0263094 GoogleRoll, 0.00319616
pack:0 ax, -0.0146027 ay, 0.249283 az, 9.70157
GoogleYaw, -0.894865 GooglePitch, -0.0262815 GoogleRoll, 0.00325495
pack:0 ax, -0.0146027 ay, 0.249283 az, 9.70157
GoogleYaw, -0.894865 GooglePitch, -0.0262815 GoogleRoll, 0.00325495
pack:0 ax, -0.0146027 ay, 0.249283 az, 9.70157
GoogleYaw, -0.894865 GooglePitch, -0.0262815 GoogleRoll, 0.00325495
pack:0 ax, -0.0622101 ay, 0.277847 az, 9.77774
GoogleYaw, -0.894865 GooglePitch, -0.0262815 GoogleRoll, 0.00325495
pack:0 ax, -0.0622101 ay, 0.277847 az, 9.77774
GoogleYaw, -0.894865 GooglePitch, -0.0262815 GoogleRoll, 0.00325495
pack:0 ax, -0.0622101 ay, 0.277847 az, 9.77774
GoogleYaw, -0.894865 GooglePitch, -0.0262815 GoogleRoll, 0.00325495
pack:0 ax, -0.0622101 ay, 0.277847 az, 9.77774
GoogleYaw, -0.894736 GooglePitch, -0.0262469 GoogleRoll, 0.00318439
pack:0 ax, -0.0455475 ay, 0.277847 az, 9.74203
GoogleYaw, -0.894736 GooglePitch, -0.0262469 GoogleRoll, 0.00318439
pack:0 ax, -0.0455475 ay, 0.277847 az, 9.74203
GoogleYaw, -0.894736 GooglePitch, -0.0262469 GoogleRoll, 0.00318439
pack:0 ax, -0.0455475 ay, 0.277847 az, 9.74203
GoogleYaw, -0.894736 GooglePitch, -0.0262469 GoogleRoll, 0.00318439
pack:0 ax, -0.0455475 ay, 0.277847 az, 9.74203
GoogleYaw, -0.894926 GooglePitch, -0.0263144 GoogleRoll, 0.00326824
pack:0 ax, -0.0384064 ay, 0.270706 az, 9.69919
GoogleYaw, -0.894926 GooglePitch, -0.0263144 GoogleRoll, 0.00326824
pack:0 ax, -0.0384064 ay, 0.270706 az, 9.69919
GoogleYaw, -0.895022 GooglePitch, -0.0263622 GoogleRoll, 0.00329277
pack:0 ax, -0.0526886 ay, 0.251663 az, 9.82535
GoogleYaw, -0.895096 GooglePitch, -0.0263982 GoogleRoll, 0.00331313
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.673
GoogleYaw, -0.895096 GooglePitch, -0.0263982 GoogleRoll, 0.00331313
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.673
GoogleYaw, -0.895126 GooglePitch, -0.026367 GoogleRoll, 0.00337987
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.673
GoogleYaw, -0.895126 GooglePitch, -0.026367 GoogleRoll, 0.00337987
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.673
GoogleYaw, -0.895126 GooglePitch, -0.026367 GoogleRoll, 0.00337987
pack:0 ax, -0.00270081 ay, 0.265945 az, 9.75394
GoogleYaw, -0.895126 GooglePitch, -0.026367 GoogleRoll, 0.00337987
pack:0 ax, -0.00270081 ay, 0.265945 az, 9.75394
GoogleYaw, -0.895126 GooglePitch, -0.026367 GoogleRoll, 0.00337987
pack:0 ax, -0.00270081 ay, 0.265945 az, 9.75394
GoogleYaw, -0.895126 GooglePitch, -0.026367 GoogleRoll, 0.00337987
pack:0 ax, -0.00270081 ay, 0.265945 az, 9.75394
GoogleYaw, -0.89512 GooglePitch, -0.026389 GoogleRoll, 0.00334646
pack:0 ax, -0.0431671 ay, 0.289749 az, 9.76346
GoogleYaw, -0.89512 GooglePitch, -0.026389 GoogleRoll, 0.00334646
pack:0 ax, -0.0431671 ay, 0.289749 az, 9.76346
GoogleYaw, -0.89512 GooglePitch, -0.026389 GoogleRoll, 0.00334646
pack:0 ax, -0.0431671 ay, 0.289749 az, 9.76346
GoogleYaw, -0.89512 GooglePitch, -0.026389 GoogleRoll, 0.00334646
pack:0 ax, -0.0431671 ay, 0.289749 az, 9.76346
GoogleYaw, -0.894986 GooglePitch, -0.0263928 GoogleRoll, 0.00322199
pack:0 ax, -0.0431671 ay, 0.246902 az, 9.72537
GoogleYaw, -0.895128 GooglePitch, -0.026487 GoogleRoll, 0.00322897
pack:0 ax, -0.0265045 ay, 0.29689 az, 9.76108
GoogleYaw, -0.895128 GooglePitch, -0.026487 GoogleRoll, 0.00322897
pack:0 ax, -0.0265045 ay, 0.29689 az, 9.76108
GoogleYaw, -0.895075 GooglePitch, -0.0264354 GoogleRoll, 0.00324674
pack:0 ax, -0.0193634 ay, 0.23024 az, 9.7706
GoogleYaw, -0.895075 GooglePitch, -0.0264354 GoogleRoll, 0.00324674
pack:0 ax, -0.0193634 ay, 0.23024 az, 9.7706
GoogleYaw, -0.895205 GooglePitch, -0.0265425 GoogleRoll, 0.00322701
pack:0 ax, -0.0193634 ay, 0.23024 az, 9.7706
GoogleYaw, -0.895205 GooglePitch, -0.0265425 GoogleRoll, 0.00322701
pack:0 ax, -0.0193634 ay, 0.23024 az, 9.7706
GoogleYaw, -0.895205 GooglePitch, -0.0265425 GoogleRoll, 0.00322701
pack:0 ax, -0.0193634 ay, 0.280228 az, 9.76584
GoogleYaw, -0.895205 GooglePitch, -0.0265425 GoogleRoll, 0.00322701
pack:0 ax, -0.0193634 ay, 0.280228 az, 9.76584
GoogleYaw, -0.895205 GooglePitch, -0.0265425 GoogleRoll, 0.00322701
pack:0 ax, -0.0193634 ay, 0.280228 az, 9.76584
GoogleYaw, -0.895205 GooglePitch, -0.0265425 GoogleRoll, 0.00322701
pack:0 ax, -0.0193634 ay, 0.280228 az, 9.76584
GoogleYaw, -0.895005 GooglePitch, -0.0264279 GoogleRoll, 0.00319353
pack:0 ax, -0.0288849 ay, 0.315933 az, 9.67538
GoogleYaw, -0.895005 GooglePitch, -0.0264279 GoogleRoll, 0.00319353
pack:0 ax, -0.0288849 ay, 0.315933 az, 9.67538
GoogleYaw, -0.895005 GooglePitch, -0.0264279 GoogleRoll, 0.00319353
pack:0 ax, -0.0288849 ay, 0.315933 az, 9.67538
GoogleYaw, -0.895005 GooglePitch, -0.0264279 GoogleRoll, 0.00319353
pack:0 ax, -0.0288849 ay, 0.315933 az, 9.67538
GoogleYaw, -0.895032 GooglePitch, -0.0264884 GoogleRoll, 0.00314094
pack:0 ax, -0.0455475 ay, 0.237381 az, 9.76822
GoogleYaw, -0.895244 GooglePitch, -0.0266663 GoogleRoll, 0.00310326
pack:0 ax, -0.016983 ay, 0.275467 az, 9.8063
GoogleYaw, -0.895244 GooglePitch, -0.0266663 GoogleRoll, 0.00310326
pack:0 ax, -0.016983 ay, 0.275467 az, 9.8063
GoogleYaw, -0.895244 GooglePitch, -0.0266663 GoogleRoll, 0.00310326
pack:0 ax, -0.016983 ay, 0.275467 az, 9.8063
GoogleYaw, -0.895144 GooglePitch, -0.0265723 GoogleRoll, 0.00313354
pack:0 ax, -0.0479279 ay, 0.287369 az, 9.70871
GoogleYaw, -0.895144 GooglePitch, -0.0265723 GoogleRoll, 0.00313354
pack:0 ax, -0.0479279 ay, 0.287369 az, 9.70871
GoogleYaw, -0.895146 GooglePitch, -0.0266285 GoogleRoll, 0.00306431
pack:0 ax, -0.0479279 ay, 0.287369 az, 9.70871
GoogleYaw, -0.895146 GooglePitch, -0.0266285 GoogleRoll, 0.00306431
pack:0 ax, -0.0693512 ay, 0.275467 az, 9.75632
GoogleYaw, -0.895353 GooglePitch, -0.0267427 GoogleRoll, 0.00310372
pack:0 ax, -0.0526886 ay, 0.263565 az, 9.80392
GoogleYaw, -0.895552 GooglePitch, -0.0267874 GoogleRoll, 0.00322486
pack:0 ax, -0.0645905 ay, 0.251663 az, 9.76584
GoogleYaw, -0.89555 GooglePitch, -0.0267548 GoogleRoll, 0.00326419
pack:0 ax, -0.0645905 ay, 0.251663 az, 9.76584
GoogleYaw, -0.89555 GooglePitch, -0.0267548 GoogleRoll, 0.00326419
pack:0 ax, 0.00205994 ay, 0.265945 az, 9.74918
GoogleYaw, -0.895555 GooglePitch, -0.0266967 GoogleRoll, 0.00334313
pack:0 ax, 0.00205994 ay, 0.265945 az, 9.74918
GoogleYaw, -0.895555 GooglePitch, -0.0266967 GoogleRoll, 0.00334313
pack:0 ax, 0.0115814 ay, 0.265945 az, 9.72775
GoogleYaw, -0.895555 GooglePitch, -0.0266967 GoogleRoll, 0.00334313
pack:0 ax, 0.0115814 ay, 0.265945 az, 9.72775
GoogleYaw, -0.895415 GooglePitch, -0.0267009 GoogleRoll, 0.00321248
pack:0 ax, 0.0115814 ay, 0.265945 az, 9.72775
GoogleYaw, -0.895415 GooglePitch, -0.0267009 GoogleRoll, 0.00321248
pack:0 ax, 0.0115814 ay, 0.265945 az, 9.72775
GoogleYaw, -0.895415 GooglePitch, -0.0267009 GoogleRoll, 0.00321248
pack:0 ax, 0.00205994 ay, 0.263565 az, 9.72061
GoogleYaw, -0.895415 GooglePitch, -0.0267009 GoogleRoll, 0.00321248
pack:0 ax, 0.00205994 ay, 0.263565 az, 9.72061
GoogleYaw, -0.895415 GooglePitch, -0.0267009 GoogleRoll, 0.00321248
pack:0 ax, 0.00205994 ay, 0.263565 az, 9.72061
GoogleYaw, -0.895415 GooglePitch, -0.0267009 GoogleRoll, 0.00321248
pack:0 ax, 0.00205994 ay, 0.263565 az, 9.72061
GoogleYaw, -0.895247 GooglePitch, -0.0267068 GoogleRoll, 0.00305442
pack:0 ax, -0.00746155 ay, 0.242142 az, 9.78488
GoogleYaw, -0.895247 GooglePitch, -0.0267068 GoogleRoll, 0.00305442
pack:0 ax, -0.00746155 ay, 0.242142 az, 9.78488
GoogleYaw, -0.895247 GooglePitch, -0.0267068 GoogleRoll, 0.00305442
pack:0 ax, -0.00746155 ay, 0.242142 az, 9.78488
GoogleYaw, -0.895247 GooglePitch, -0.0267068 GoogleRoll, 0.00305442
pack:0 ax, -0.00746155 ay, 0.242142 az, 9.78488
GoogleYaw, -0.895073 GooglePitch, -0.0266949 GoogleRoll, 0.00291339
pack:0 ax, -0.00984192 ay, 0.249283 az, 9.73727
GoogleYaw, -0.894808 GooglePitch, -0.0265831 GoogleRoll, 0.0028192
pack:0 ax, -0.0241241 ay, 0.265945 az, 9.77536
GoogleYaw, -0.894808 GooglePitch, -0.0265831 GoogleRoll, 0.0028192
pack:0 ax, -0.0241241 ay, 0.265945 az, 9.77536
GoogleYaw, -0.894641 GooglePitch, -0.0265146 GoogleRoll, 0.00275757
pack:0 ax, -0.0336456 ay, 0.29451 az, 9.74442
GoogleYaw, -0.894641 GooglePitch, -0.0265146 GoogleRoll, 0.00275757
pack:0 ax, -0.0336456 ay, 0.29451 az, 9.74442
GoogleYaw, -0.894657 GooglePitch, -0.0265429 GoogleRoll, 0.00273581
pack:0 ax, -0.0336456 ay, 0.29451 az, 9.74442
