GoogleYaw, -0.895965 GooglePitch, -0.0267326 GoogleRoll, 0.00366561
pack:0 ax, -0.00746155 ay, 0.227859 az, 9.81345
GoogleYaw, -0.895965 GooglePitch, -0.0267326 GoogleRoll, 0.00366561
pack:0 ax, -0.00746155 ay, 0.227859 az, 9.81345
GoogleYaw, -0.895965 GooglePitch, -0.0267326 GoogleRoll, 0.00366561
pack:0 ax, -0.036026 ay, 0.270706 az, 9.71347
GoogleYaw, -0.895965 GooglePitch, -0.0267326 GoogleRoll, 0.00366561
pack:0 ax, -0.036026 ay, 0.270706 az, 9.71347
GoogleYaw, -0.895686 GooglePitch, -0.0266286 GoogleRoll, 0.00354762
pack:0 ax, -0.0455475 ay, 0.29213 az, 9.81821
GoogleYaw, -0.895732 GooglePitch, -0.026673 GoogleRoll, 0.00353228
pack:0 ax, -0.00746155 ay, 0.263565 az, 9.73013
GoogleYaw, -0.895732 GooglePitch, -0.026673 GoogleRoll, 0.00353228
pack:0 ax, -0.00746155 ay, 0.263565 az, 9.73013
GoogleYaw, -0.895732 GooglePitch, -0.026673 GoogleRoll, 0.00353228
pack:0 ax, -0.00746155 ay, 0.263565 az, 9.73013
GoogleYaw, -0.89591 GooglePitch, -0.0267693 GoogleRoll, 0.00356935
pack:0 ax, -0.00746155 ay, 0.263565 az, 9.73013
GoogleYaw, -0.89591 GooglePitch, -0.0267693 GoogleRoll, 0.00356935
pack:0 ax, -0.0193634 ay, 0.246902 az, 9.74442
GoogleYaw, -0.89591 GooglePitch, -0.0267693 GoogleRoll, 0.00356935
pack:0 ax, -0.0193634 ay, 0.246902 az, 9.74442
GoogleYaw, -0.89591 GooglePitch, -0.0267693 GoogleRoll, 0.00356935
pack:0 ax, -0.0193634 ay, 0.246902 az, 9.74442
GoogleYaw, -0.89591 GooglePitch, -0.0267693 GoogleRoll, 0.00356935
pack:0 ax, -0.0193634 ay, 0.246902 az, 9.74442
GoogleYaw, -0.89585 GooglePitch, -0.0267832 GoogleRoll, 0.00349684
pack:0 ax, -0.0217438 ay, 0.273087 az, 9.72061
GoogleYaw, -0.89585 GooglePitch, -0.0267832 GoogleRoll, 0.00349684
pack:0 ax, -0.0217438 ay, 0.273087 az, 9.72061
GoogleYaw, -0.895753 GooglePitch, -0.0267385 GoogleRoll, 0.0034673
pack:0 ax, -0.0217438 ay, 0.273087 az, 9.72061
GoogleYaw, -0.895753 GooglePitch, -0.0267385 GoogleRoll, 0.0034673
pack:0 ax, -0.0217438 ay, 0.273087 az, 9.72061
GoogleYaw, -0.895753 GooglePitch, -0.0267385 GoogleRoll, 0.0034673
pack:0 ax, -0.00984192 ay, 0.268326 az, 9.72537
GoogleYaw, -0.895773 GooglePitch, -0.0267765 GoogleRoll, 0.00343664
pack:0 ax, -0.036026 ay, 0.244522 az, 9.71585
GoogleYaw, -0.895773 GooglePitch, -0.0267765 GoogleRoll, 0.00343664
pack:0 ax, -0.036026 ay, 0.244522 az, 9.71585
GoogleYaw, -0.895723 GooglePitch, -0.0267966 GoogleRoll, 0.00336633
pack:0 ax, -0.0146027 ay, 0.237381 az, 9.70871
GoogleYaw, -0.895723 GooglePitch, -0.0267966 GoogleRoll, 0.00336633
pack:0 ax, -0.0146027 ay, 0.237381 az, 9.70871
GoogleYaw, -0.895723 GooglePitch, -0.0267966 GoogleRoll, 0.00336633
pack:0 ax, -0.0146027 ay, 0.237381 az, 9.70871
GoogleYaw, -0.895649 GooglePitch, -0.0267356 GoogleRoll, 0.00337763
pack:0 ax, -0.0146027 ay, 0.237381 az, 9.70871
