GoogleYaw, -0.897184 GooglePitch, -0.0274129 GoogleRoll, 0.00388837
pack:0 ax, -0.0693512 ay, 0.289749 az, 9.79202
GoogleYaw, -0.897184 GooglePitch, -0.0274129 GoogleRoll, 0.00388837
pack:0 ax, -0.0693512 ay, 0.289749 az, 9.79202
GoogleYaw, -0.897167 GooglePitch, -0.0274639 GoogleRoll, 0.00380775
pack:0 ax, -0.0431671 ay, 0.256424 az, 9.72537
GoogleYaw, -0.897424 GooglePitch, -0.0275358 GoogleRoll, 0.00394658
pack:0 ax, -0.0526886 ay, 0.258804 az, 9.65396
GoogleYaw, -0.897424 GooglePitch, -0.0275358 GoogleRoll, 0.00394658
pack:0 ax, -0.0526886 ay, 0.258804 az, 9.65396
GoogleYaw, -0.897424 GooglePitch, -0.0275358 GoogleRoll, 0.00394658
pack:0 ax, -0.0526886 ay, 0.258804 az, 9.65396
GoogleYaw, -0.897424 GooglePitch, -0.0275358 GoogleRoll, 0.00394658
pack:0 ax, -0.0526886 ay, 0.258804 az, 9.65396
GoogleYaw, -0.89741 GooglePitch, -0.0274979 GoogleRoll, 0.0039819
pack:0 ax, -0.0455475 ay, 0.280228 az, 9.80154
GoogleYaw, -0.89741 GooglePitch, -0.0274979 GoogleRoll, 0.0039819
pack:0 ax, -0.0455475 ay, 0.280228 az, 9.80154
GoogleYaw, -0.89741 GooglePitch, -0.0274979 GoogleRoll, 0.0039819
pack:0 ax, -0.0455475 ay, 0.280228 az, 9.80154
GoogleYaw, -0.89741 GooglePitch, -0.0274979 GoogleRoll, 0.0039819
pack:0 ax, -0.0455475 ay, 0.280228 az, 9.80154
GoogleYaw, -0.897438 GooglePitch, -0.027466 GoogleRoll, 0.00404851
pack:0 ax, -0.00984192 ay, 0.258804 az, 9.76822
GoogleYaw, -0.897438 GooglePitch, -0.027466 GoogleRoll, 0.00404851
pack:0 ax, -0.00984192 ay, 0.258804 az, 9.76822
GoogleYaw, -0.897438 GooglePitch, -0.027466 GoogleRoll, 0.00404851
pack:0 ax, -0.00984192 ay, 0.258804 az, 9.76822
GoogleYaw, -0.897525 GooglePitch, -0.0275045 GoogleRoll, 0.00407699
pack:0 ax, -0.00984192 ay, 0.258804 az, 9.76822
GoogleYaw, -0.897525 GooglePitch, -0.0275045 GoogleRoll, 0.00407699
pack:0 ax, -0.00984192 ay, 0.280228 az, 9.76108
GoogleYaw, -0.897362 GooglePitch, -0.0274717 GoogleRoll, 0.00397302
pack:0 ax, -0.0526886 ay, 0.287369 az, 9.78726
GoogleYaw, -0.897362 GooglePitch, -0.0274717 GoogleRoll, 0.00397302
pack:0 ax, -0.0526886 ay, 0.287369 az, 9.78726
GoogleYaw, -0.897322 GooglePitch, -0.0275138 GoogleRoll, 0.00388263
pack:0 ax, -0.0407867 ay, 0.275467 az, 9.78488
GoogleYaw, -0.897322 GooglePitch, -0.0275138 GoogleRoll, 0.00388263
pack:0 ax, -0.0407867 ay, 0.275467 az, 9.78488
GoogleYaw, -0.897322 GooglePitch, -0.0275138 GoogleRoll, 0.00388263
pack:0 ax, -0.0407867 ay, 0.275467 az, 9.78488
GoogleYaw, -0.897322 GooglePitch, -0.0275138 GoogleRoll, 0.00388263
pack:0 ax, -0.0407867 ay, 0.275467 az, 9.78488
GoogleYaw, -0.89748 GooglePitch, -0.0275874 GoogleRoll, 0.00393056
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.70157
GoogleYaw, -0.89748 GooglePitch, -0.0275874 GoogleRoll, 0.00393056
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.70157
GoogleYaw, -0.89748 GooglePitch, -0.0275874 GoogleRoll, 0.00393056
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.70157
GoogleYaw, -0.89748 GooglePitch, -0.0275874 GoogleRoll, 0.00393056
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.70157
GoogleYaw, -0.897515 GooglePitch, -0.0276072 GoogleRoll, 0.00393624
pack:0 ax, -0.0431671 ay, 0.246902 az, 9.75156
GoogleYaw, -0.897515 GooglePitch, -0.0276072 GoogleRoll, 0.00393624
pack:0 ax, -0.0431671 ay, 0.246902 az, 9.75156
GoogleYaw, -0.897353 GooglePitch, -0.0275692 GoogleRoll, 0.00383945
