GoogleYaw, -0.895661 GooglePitch, -0.0263181 GoogleRoll, 0.00392258
pack:0 ax, -0.0622101 ay, 0.263565 az, 9.78488
GoogleYaw, -0.895661 GooglePitch, -0.0263181 GoogleRoll, 0.00392258
pack:0 ax, -0.0336456 ay, 0.263565 az, 9.75394
GoogleYaw, -0.895661 GooglePitch, -0.0263181 GoogleRoll, 0.00392258
pack:0 ax, -0.0336456 ay, 0.263565 az, 9.75394
GoogleYaw, -0.895661 GooglePitch, -0.0263181 GoogleRoll, 0.00392258
pack:0 ax, -0.0336456 ay, 0.263565 az, 9.75394
GoogleYaw, -0.895661 GooglePitch, -0.0263181 GoogleRoll, 0.00392258
pack:0 ax, -0.0336456 ay, 0.263565 az, 9.75394
GoogleYaw, -0.895815 GooglePitch, -0.0263568 GoogleRoll, 0.00401142
pack:0 ax, -0.0193634 ay, 0.284988 az, 9.7587
GoogleYaw, -0.895815 GooglePitch, -0.0263568 GoogleRoll, 0.00401142
pack:0 ax, -0.0193634 ay, 0.284988 az, 9.7587
GoogleYaw, -0.895815 GooglePitch, -0.0263568 GoogleRoll, 0.00401142
pack:0 ax, -0.0193634 ay, 0.284988 az, 9.7587
GoogleYaw, -0.895815 GooglePitch, -0.0263568 GoogleRoll, 0.00401142
pack:0 ax, -0.0193634 ay, 0.284988 az, 9.7587
GoogleYaw, -0.895845 GooglePitch, -0.026387 GoogleRoll, 0.0040001
pack:0 ax, -0.0265045 ay, 0.249283 az, 9.70871
GoogleYaw, -0.895845 GooglePitch, -0.026387 GoogleRoll, 0.0040001
pack:0 ax, -0.0265045 ay, 0.249283 az, 9.70871
GoogleYaw, -0.895858 GooglePitch, -0.0264581 GoogleRoll, 0.00392013
pack:0 ax, -0.0598297 ay, 0.251663 az, 9.78012
GoogleYaw, -0.895745 GooglePitch, -0.0264196 GoogleRoll, 0.00386798
pack:0 ax, -0.0503082 ay, 0.282608 az, 9.8063
GoogleYaw, -0.895745 GooglePitch, -0.0264196 GoogleRoll, 0.00386798
pack:0 ax, -0.0503082 ay, 0.282608 az, 9.8063
GoogleYaw, -0.89579 GooglePitch, -0.0263943 GoogleRoll, 0.00394065
pack:0 ax, -0.0503082 ay, 0.282608 az, 9.8063
GoogleYaw, -0.89579 GooglePitch, -0.0263943 GoogleRoll, 0.00394065
pack:0 ax, -0.0503082 ay, 0.282608 az, 9.8063
GoogleYaw, -0.89579 GooglePitch, -0.0263943 GoogleRoll, 0.00394065
pack:0 ax, -0.0146027 ay, 0.273087 az, 9.73489
GoogleYaw, -0.89579 GooglePitch, -0.0263943 GoogleRoll, 0.00394065
pack:0 ax, -0.0146027 ay, 0.273087 az, 9.73489
GoogleYaw, -0.89579 GooglePitch, -0.0263943 GoogleRoll, 0.00394065
pack:0 ax, -0.0146027 ay, 0.273087 az, 9.73489
GoogleYaw, -0.89579 GooglePitch, -0.0263943 GoogleRoll, 0.00394065
pack:0 ax, -0.0146027 ay, 0.273087 az, 9.73489
GoogleYaw, -0.895928 GooglePitch, -0.0264628 GoogleRoll, 0.00397776
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.81107
GoogleYaw, -0.895928 GooglePitch, -0.0264628 GoogleRoll, 0.00397776
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.81107
GoogleYaw, -0.895928 GooglePitch, -0.0264628 GoogleRoll, 0.00397776
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.81107
GoogleYaw, -0.895928 GooglePitch, -0.0264628 GoogleRoll, 0.00397776
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.81107
GoogleYaw, -0.895879 GooglePitch, -0.026503 GoogleRoll, 0.00388213
pack:0 ax, -0.0193634 ay, 0.275467 az, 9.69681
GoogleYaw, -0.895879 GooglePitch, -0.026503 GoogleRoll, 0.00388213
pack:0 ax, -0.0193634 ay, 0.275467 az, 9.69681
GoogleYaw, -0.895988 GooglePitch, -0.0265555 GoogleRoll, 0.00391276
pack:0 ax, -0.016983 ay, 0.265945 az, 9.76108
GoogleYaw, -0.896028 GooglePitch, -0.026635 GoogleRoll, 0.0038464
pack:0 ax, -0.0407867 ay, 0.251663 az, 9.73013
GoogleYaw, -0.896028 GooglePitch, -0.026635 GoogleRoll, 0.0038464
pack:0 ax, -0.0407867 ay, 0.251663 az, 9.73013
GoogleYaw, -0.895975 GooglePitch, -0.0266634 GoogleRoll, 0.00376269
pack:0 ax, -0.0407867 ay, 0.251663 az, 9.73013
GoogleYaw, -0.895975 GooglePitch, -0.0266634 GoogleRoll, 0.00376269
pack:0 ax, -0.0407867 ay, 0.251663 az, 9.73013
